Make,Model,Year,Style,Distance,Engine_capacity(cm3),Fuel_type,Transmission
Nissan,Micra,2011,Hatchback,85000.0,1200.0,Petrol,Manual
Citroen,Nemo,2011,Minivan,163000.0,1400.0,Diesel,Manual
Audi,A4,2002,Sedan,270000.0,1860.0,Diesel,Manual
Volkswagen,Caravelle,1995,Universal,350000.0,2400.0,Diesel,Manual
Opel,Astra,2006,Hatchback,240000.0,1400.0,Petrol,Manual
Ford,Fusion,2015,Sedan,170000.0,1499.0,Petrol,Automatic
Renault,Megane,2006,Universal,258000.0,1500.0,Diesel,Manual
Skoda,Octavia,2013,Universal,196000.0,1200.0,Petrol,Automatic
Dacia,Logan,2008,Universal,250000.0,1600.0,Metan/Propan,Manual
Dacia,Duster,2017,Crossover,124000.0,1500.0,Diesel,Manual
Hyundai,Santa FE,2010,SUV,208451.0,2199.0,Diesel,Automatic
Dacia,Duster,2015,SUV,170000.0,1500.0,Diesel,Manual
Volkswagen,Polo,2014,Hatchback,193000.0,1422.0,Diesel,Manual
Toyota,Avensis Verso,2003,Minivan,120000.0,2000.0,Diesel,Manual
Jaguar,Xf,2013,Sedan,80303.0,2000.0,Petrol,Automatic
Opel,Zafira,2007,Universal,19600.0,1600.0,Metan/Propan,Manual
Ford,Mondeo,1995,Sedan,200000.0,1800.0,Diesel,Manual
Skoda,Superb,2016,Sedan,165000.0,2000.0,Diesel,Automatic
Renault,Kadjar,2016,Crossover,11111.0,1500.0,Diesel,Manual
BMW,7 Series,2013,Sedan,260294.0,3000.0,Petrol,Automatic
Nissan,Sunny,1991,Sedan,320000.0,1400.0,Petrol,Manual
Volkswagen,Jetta,2006,Sedan,186000.0,1600.0,Petrol,Manual
Volkswagen,Golf,1985,Coupe,258888.0,1600.0,Diesel,Manual
BMW,X5,2008,Crossover,355000.0,3500.0,Diesel,Automatic
Mercedes,E Class,2013,Sedan,290000.0,1800.0,Metan/Propan,Automatic
Mercedes,Vito,2012,Microvan,445000.0,2199.0,Diesel,Automatic
Mercedes,E Class,2018,Sedan,37000.0,3500.0,Diesel,Automatic
Renault,Espace,2015,Universal,193616.0,1600.0,Diesel,Automatic
Mercedes,E Class,2000,Sedan,300000.0,1998.0,Metan/Propan,Manual
Opel,Combo,2006,Universal,285000.0,1300.0,Diesel,Manual
Toyota,Corolla,2005,Universal,154000.0,1400.0,Diesel,Automatic
Volkswagen,Touran,2009,Minivan,178208.0,1400.0,Petrol,Manual
Mercedes,C Class,2014,Sedan,185000.0,2200.0,Diesel,Automatic
Renault,Megane,2011,Universal,170000.0,1500.0,Diesel,Manual
Hyundai,i40,2012,Sedan,175000.0,2000.0,Petrol,Automatic
Citroen,C5,2009,Sedan,175000.0,2000.0,Metan/Propan,Automatic
Mercedes,E Class,2013,Sedan,209000.0,2200.0,Hybrid,Automatic
Volkswagen,Golf,1994,SUV,77000.0,1800.0,Petrol,Manual
Ford,Fusion,2013,Sedan,129000.0,1499.0,Petrol,Automatic
Skoda,Superb,2014,Sedan,186000.0,1600.0,Diesel,Automatic
Audi,A6,2010,Sedan,255000.0,2700.0,Diesel,Automatic
Toyota,Corolla,2006,Universal,189001.0,1600.0,Metan/Propan,Manual
Opel,Astra,2011,Universal,184300.0,1300.0,Diesel,Manual
Ssangyong,Rexton,2020,Pickup,60000.0,2157.0,Diesel,Automatic
Ford,F-150,2016,Pickup,55000.0,5000.0,Petrol,Automatic
Nissan,Qashqai,2010,Crossover,187200.0,1461.0,Diesel,Manual
Toyota,Avalon,2014,Sedan,120000.0,2500.0,Hybrid,Automatic
Renault,ZOE,2015,Hatchback,12000.0,0.0,Electric,Automatic
Renault,Scenic,2012,Universal,174144.0,1500.0,Diesel,Manual
Toyota,Verso-S,2011,Hatchback,160000.0,1400.0,Diesel,Manual
Mercedes,V Class,2016,Minivan,38000.0,2000.0,Petrol,Automatic
Land Rover,Freelander,2009,Crossover,120000.0,2200.0,Diesel,Manual
Honda,CR-V,2014,Crossover,128796.0,2200.0,Diesel,Automatic
BMW,5 Series,2015,Sedan,110000.0,2000.0,Petrol,Automatic
Honda,Accord,1996,Sedan,123456.0,2000.0,Diesel,Manual
Opel,Zafira,2005,Minivan,155000.0,2000.0,Diesel,Manual
Toyota,Auris,2015,Hatchback,109400.0,1600.0,Diesel,Manual
Volkswagen,Touran,2004,Universal,178000.0,1600.0,Petrol,Manual
Audi,A6,1995,Universal,220132.0,1800.0,Metan/Propan,Manual
Volvo,S60,2014,Sedan,125000.0,1600.0,Diesel,Automatic
Dacia,Logan,2010,Universal,171200.0,1500.0,Diesel,Manual
Volvo,XC60,2014,Crossover,152000.0,2400.0,Diesel,Automatic
Ford,Explorer,2013,SUV,13000.0,2000.0,Petrol,Automatic
Nissan,Qashqai,2011,Crossover,164101.0,1500.0,Diesel,Manual
Volkswagen,Passat,1991,Sedan,333542.0,1800.0,Metan/Propan,Manual
Volvo,XC60,2014,Crossover,101141.0,2000.0,Diesel,Automatic
Skoda,Octavia,2010,Hatchback,224300.0,1600.0,Petrol,Manual
Fiat,Punto,2011,Sedan,270000.0,1256.0,Diesel,Manual
Nissan,Qashqai,2015,Crossover,124200.0,1461.0,Diesel,Manual
BMW,7 Series,1997,Sedan,380000.0,2800.0,Petrol,Automatic
Toyota,Auris,2014,Hatchback,78000.0,1400.0,Diesel,Manual
Opel,Astra,2013,Universal,176500.0,1300.0,Diesel,Manual
BMW,5 Series,2003,Sedan,275467.0,3000.0,Diesel,Manual
Mercedes,S Class,1997,Sedan,318450.0,3200.0,Petrol,Automatic
Opel,Astra,2017,Universal,101000.0,1598.0,Diesel,Manual
Volkswagen,Golf,1995,Universal,223000.0,1600.0,Petrol,Manual
Mazda,Xedos,1994,Sedan,265000.0,2000.0,Petrol,Manual
Mercedes,Viano,2003,Minivan,250000.0,2200.0,Diesel,Automatic
Honda,Civic,2009,Sedan,165000.0,1300.0,Hybrid,Automatic
Opel,Astra,2004,Universal,23451.0,1800.0,Petrol,Automatic
Toyota,Avensis,2013,Universal,200000.0,2200.0,Diesel,Automatic
Opel,Astra,2007,Universal,244000.0,1300.0,Diesel,Manual
Opel,Vivaro,2005,Universal,190533.0,1900.0,Diesel,Manual
KIA,Optima,2012,Sedan,116000.0,1998.0,Petrol,Automatic
Daihatsu,Cuore,2004,Hatchback,190000.0,100.0,Petrol,Automatic
Mazda,626,1994,Sedan,300000.0,200.0,Metan/Propan,Manual
Volkswagen,Passat,1995,Sedan,26000.0,1900.0,Diesel,Manual
Audi,100,1993,Sedan,439380.0,2000.0,Metan/Propan,Manual
Mercedes,S Class,1987,Sedan,300000.0,3000.0,Diesel,Automatic
Volkswagen,Tiguan,2015,Crossover,117000.0,1968.0,Diesel,Manual
Mercedes,E Class,2003,Sedan,222122.0,2700.0,Diesel,Automatic
Seat,Cordoba,1997,Hatchback,204000.0,1698.0,Petrol,Manual
Toyota,Corolla,2006,Sedan,189000.0,1400.0,Diesel,Manual
Renault,Megane,2011,Hatchback,130000.0,1500.0,Diesel,Manual
Volvo,XC60,2020,Crossover,5624.0,2000.0,Hybrid,Automatic
Volkswagen,Transporter,2011,Minivan,214000.0,2000.0,Diesel,Manual
Volkswagen,Passat CC,2010,Sedan,152500.0,2000.0,Diesel,Manual
Mercedes,M Class,2008,SUV,260000.0,3000.0,Diesel,Automatic
Mazda,Premacy,2004,Hatchback,325000.0,1900.0,Petrol,Manual
KIA,Sportage,2016,Crossover,102100.0,1699.0,Diesel,Automatic
BMW,7 Series,2003,Sedan,380000.0,3000.0,Diesel,Automatic
Ford,Fiesta,2003,Hatchback,267000.0,1399.0,Diesel,Manual
Nissan,Qashqai,2016,Crossover,149825.0,1500.0,Diesel,Manual
Rare,F3,2006,Sedan,45000.0,1500.0,Metan/Propan,Manual
Volkswagen,Passat,2006,Sedan,190000.0,2000.0,Petrol,Manual
Volkswagen,Passat,1992,Universal,27600.0,2000.0,Petrol,Manual
Honda,CR-V,2010,SUV,61223.0,2200.0,Diesel,Manual
Nissan,Qashqai,2007,Crossover,177777.0,1500.0,Diesel,Manual
Toyota,Avalon,2015,Sedan,38000.0,2496.0,Hybrid,Automatic
Hyundai,Tucson,2008,Crossover,190000.0,2000.0,Diesel,Manual
Hyundai,Santa FE,2017,Crossover,87000.0,2200.0,Diesel,Automatic
Lexus,RX Series,2004,Hatchback,280000.0,330.0,Metan/Propan,Automatic
Nissan,Primastar,2004,Universal,300000.0,1900.0,Diesel,Manual
Ford,Fusion,2011,Universal,187000.0,1400.0,Diesel,Manual
Peugeot,508,2016,Sedan,192500.0,1600.0,Diesel,Manual
BMW,5 Series,2004,Sedan,310000.0,2500.0,Diesel,Automatic
BMW,5 Series,2018,Sedan,28942.0,2000.0,Petrol,Automatic
Volkswagen,Fox,2006,Hatchback,245455.0,1200.0,Petrol,Manual
Volvo,V40,2016,Hatchback,184500.0,1500.0,Petrol,Automatic
BMW,5 Series,2008,Sedan,235000.0,200.0,Diesel,Automatic
Dacia,Logan,2010,Sedan,224730.0,1200.0,Metan/Propan,Manual
Toyota,Auris,2010,Hatchback,222000.0,1600.0,Petrol,Manual
KIA,Sportage,2017,Crossover,95000.0,1699.0,Diesel,Automatic
Volkswagen,Passat,2014,Universal,240000.0,1400.0,Metan/Propan,Automatic
Mercedes,A Class,1999,Hatchback,270000.0,1400.0,Petrol,Manual
Renault,Grand Scenic,2013,Universal,190401.0,1461.0,Diesel,Manual
Volkswagen,Golf,2011,Hatchback,193000.0,1200.0,Petrol,Manual
Dacia,Dokker,2014,Minivan,287921.0,1600.0,Metan/Propan,Manual
Toyota,Auris,2014,Universal,232900.0,1400.0,Diesel,Manual
Volkswagen,Transporter,1995,Minivan,300000.0,2500.0,Petrol,Manual
Land Rover,Range Rover Evoque,2013,Crossover,122000.0,2200.0,Diesel,Automatic
BMW,X5,2005,SUV,280000.0,3000.0,Metan/Propan,Automatic
Renault,Fluence,2012,Sedan,33000.0,100.0,Electric,Automatic
Toyota,Corolla,2008,Sedan,76295.0,1600.0,Petrol,Manual
Chevrolet,Epica,2007,Sedan,180000.0,2000.0,Diesel,Automatic
BMW,X4,2015,Crossover,108000.0,1986.0,Petrol,Automatic
Toyota,Prius,2010,Hatchback,205000.0,1800.0,Petrol,Automatic
Skoda,Octavia,1999,Combi,360000.0,1900.0,Diesel,Manual
Vaz,2101,1974,Sedan,250000.0,1200.0,Petrol,Manual
Dacia,Logan,2019,Universal,111111.0,1111.0,Diesel,Automatic
Mazda,3,2005,Sedan,145000.0,1600.0,Petrol,Manual
Dacia,Logan,2008,Sedan,319122.0,1500.0,Diesel,Manual
Toyota,Avensis,2003,Hatchback,230000.0,1800.0,Petrol,Manual
Audi,A6,2006,Sedan,123456.0,2000.0,Diesel,Automatic
Infiniti,FX,2006,Crossover,160000.0,3500.0,Metan/Propan,Automatic
Toyota,Avensis,2007,Universal,312000.0,200.0,Diesel,Manual
Toyota,Prius,2006,Sedan,180000.0,1500.0,Hybrid,Automatic
Mercedes,Vito,2002,Minivan,28446.0,2002.0,Diesel,Manual
Mercedes,C Class,2017,Universal,159000.0,1600.0,Diesel,Automatic
Peugeot,206,2005,Hatchback,123456.0,1400.0,Diesel,Manual
Peugeot,301,2013,Sedan,197000.0,1200.0,Petrol,Manual
Citroen,C4 Picasso,2007,Minivan,255000.0,1580.0,Diesel,Automatic
Volvo,XC90,2012,SUV,170000.0,2400.0,Diesel,Automatic
Renault,Megane,2010,Universal,183600.0,1500.0,Diesel,Manual
Mercedes,E Class,2000,Universal,240000.0,2400.0,Petrol,Manual
Toyota,Rav 4,2014,Crossover,82000.0,2000.0,Petrol,Automatic
Skoda,Octavia,2012,Hatchback,215000.0,1400.0,Petrol,Manual
Nissan,Juke,2012,Crossover,78000.0,1600.0,Petrol,Automatic
Ford,Mondeo,2006,Sedan,360000.0,2200.0,Diesel,Manual
Toyota,Avensis,2005,Sedan,180000.0,1800.0,Petrol,Manual
Volkswagen,Jetta,2006,Sedan,240000.0,1600.0,Metan/Propan,Manual
Ford,Focus,2000,Hatchback,201895.0,1400.0,Petrol,Manual
Mercedes,A Class,2001,Universal,174000.0,1600.0,Petrol,Automatic
Skoda,Fabia,2007,Universal,128000.0,1200.0,Petrol,Manual
Mercedes,E Class,2010,Sedan,233898.0,2143.0,Diesel,Automatic
Dacia,Logan,2013,Sedan,71372.0,1500.0,Diesel,Manual
Nissan,Primera,2006,Universal,255500.0,1800.0,Metan/Propan,Manual
Mercedes,E Class,1995,Sedan,342259.0,2200.0,Metan/Propan,Manual
Nissan,Note,2006,Sedan,120000.0,1500.0,Diesel,Manual
Toyota,Camry,1999,Sedan,30000.0,2200.0,Petrol,Automatic
Mercedes,E Class,2015,Sedan,387590.0,2000.0,Metan/Propan,Automatic
Toyota,Auris,2008,Hatchback,208000.0,1400.0,Diesel,Manual
Nissan,Juke,2014,Crossover,165500.0,1461.0,Diesel,Manual
Renault,Grand Scenic,2012,Minivan,200000.0,1500.0,Diesel,Manual
Chevrolet,Spark,2015,Hatchback,82122.0,0.0,Electric,Automatic
Mercedes,S Class,1999,Sedan,250000.0,5000.0,Petrol,Automatic
BMW,5 Series,1999,Sedan,23000.0,200.0,Petrol,Manual
Toyota,Prius,2013,Sedan,152000.0,1798.0,Hybrid,Automatic
Vaz,2106,2001,Sedan,21689.0,1451.0,Petrol,Manual
Peugeot,307,2008,Universal,190533.0,1400.0,Diesel,Manual
Volkswagen,Jetta,2014,Sedan,90000.0,200.0,Diesel,Automatic
Land Rover,Range Rover,2001,SUV,11111.0,2500.0,Diesel,Automatic
Toyota,Rav 4,1999,SUV,156000.0,2000.0,Petrol,Automatic
Audi,100,1987,Universal,243000.0,2300.0,Metan/Propan,Manual
Mitsubishi,Outlander,2014,Crossover,220000.0,1998.0,Plug-in Hybrid,Automatic
Volkswagen,Jetta,2013,Sedan,148000.0,1400.0,Hybrid,Automatic
Mitsubishi,Sigma,1994,Sedan,500000.0,3000.0,Petrol,Automatic
Toyota,Matrix,2003,Minivan,200000.0,1800.0,Metan/Propan,Automatic
BMW,5 Series,1997,Sedan,11222.0,2000.0,Petrol,Manual
Audi,Q7,2017,SUV,62000.0,1984.0,Petrol,Automatic
Toyota,Prius +,2012,Universal,74000.0,1800.0,Hybrid,Automatic
Chevrolet,Cruze,2012,Sedan,130000.0,1400.0,Petrol,Automatic
Hyundai,IONIQ,2020,Hatchback,28000.0,0.0,Electric,Automatic
Hyundai,Santa FE,2007,Crossover,200900.0,2200.0,Diesel,Automatic
Honda,CR-V,2010,SUV,134000.0,2200.0,Diesel,Automatic
Rare,9-5,2004,Universal,230000.0,2200.0,Diesel,Automatic
Mercedes,E Class,2004,Sedan,328000.0,2700.0,Diesel,Automatic
Renault,Grand Scenic,2008,Minivan,235000.0,1500.0,Diesel,Manual
Volkswagen,Passat,2006,Sedan,195000.0,2000.0,Petrol,Automatic
Land Rover,Range Rover,2011,SUV,214000.0,3000.0,Diesel,Automatic
Mitsubishi,Pajero,2002,Crossover,195000.0,3200.0,Diesel,Manual
Toyota,Corolla,2006,Universal,198563.0,1400.0,Diesel,Automatic
Nissan,Qashqai,2018,Crossover,150000.0,1500.0,Diesel,Manual
Vaz,21099,1999,Sedan,40000.0,1500.0,Petrol,Manual
Volvo,XC90,2017,SUV,98000.0,1998.0,Diesel,Automatic
Opel,Zafira,2001,Minivan,1111.0,2000.0,Diesel,Manual
Opel,Meriva,2005,Minivan,140000.0,1300.0,Diesel,Manual
Renault,Captur,2015,Crossover,127500.0,1500.0,Diesel,Automatic
BMW,5 Series,2000,Sedan,280000.0,2000.0,Petrol,Manual
Fiat,Doblo,2011,Minivan,166500.0,1600.0,Diesel,Manual
Renault,Kadjar,2017,Crossover,156000.0,1500.0,Diesel,Automatic
Toyota,Prius,2017,Hatchback,77000.0,1800.0,Hybrid,Automatic
KIA,Sportage,2009,Crossover,214343.0,2000.0,Petrol,Manual
Opel,Combo,2005,Combi,264752.0,1400.0,Petrol,Manual
Audi,A4,2005,Sedan,230000.0,200.0,Petrol,Automatic
Volkswagen,Sharan,2007,Minivan,235000.0,1968.0,Diesel,Manual
Opel,Kadett,1990,Hatchback,200000.0,1600.0,Petrol,Manual
Volkswagen,Transporter,2001,Minivan,290000.0,2500.0,Diesel,Manual
Hyundai,Getz,2007,Hatchback,187000.0,1400.0,Petrol,Manual
BMW,5 Series,2000,Sedan,477333.0,2000.0,Metan/Propan,Manual
Opel,Astra,1993,Universal,292000.0,1400.0,Petrol,Manual
Opel,Astra,2010,Universal,102000.0,1600.0,Petrol,Manual
Hyundai,Tucson,2015,Crossover,104000.0,2000.0,Petrol,Automatic
Mercedes,E Class,2002,Sedan,370000.0,2700.0,Diesel,Automatic
Honda,CR-V,2010,Crossover,150000.0,2000.0,Diesel,Manual
Ford,Mondeo,2016,Universal,159318.0,1500.0,Diesel,Manual
Volkswagen,Passat,1992,Universal,300000.0,1800.0,Metan/Propan,Manual
BMW,5 Series,1989,Sedan,250000.0,200.0,Diesel,Manual
Mitsubishi,Outlander,2013,SUV,230000.0,2000.0,Plug-in Hybrid,Automatic
Nissan,Qashqai,2018,Crossover,136013.0,1500.0,Diesel,Manual
Volkswagen,Passat,1992,Crossover,247000.0,2000.0,Petrol,Manual
Jeep,Grand Cherokee,2004,SUV,259000.0,4700.0,Metan/Propan,Automatic
Ford,Focus,2015,Universal,170000.0,1500.0,Diesel,Manual
Nissan,Primera,2001,Sedan,242000.0,2000.0,Metan/Propan,Manual
Audi,80,1993,Hatchback,333333.0,2000.0,Petrol,Manual
Mercedes,A Class,2002,Hatchback,240000.0,1700.0,Diesel,Automatic
BMW,X5,2005,SUV,267000.0,3000.0,Petrol,Automatic
KIA,Niro,2018,Universal,83553.0,1600.0,Hybrid,Automatic
Nissan,Juke,2014,Crossover,59658.0,1600.0,Petrol,Automatic
Citroen,BX,1990,Universal,17000.0,1400.0,Petrol,Manual
Ford,Mondeo,2013,Sedan,116000.0,2000.0,Plug-in Hybrid,Automatic
KIA,Soul,2018,Crossover,120000.0,0.0,Electric,Automatic
Renault,Megane,2015,Hatchback,118416.0,1461.0,Diesel,Manual
Mercedes,Viano,2012,Microvan,216879.0,2200.0,Diesel,Manual
Citroen,Berlingo,2014,Minivan,171000.0,1600.0,Diesel,Manual
Porsche,Macan,2014,Crossover,82960.0,3000.0,Petrol,Automatic
Toyota,Rav 4,2003,Crossover,190000.0,2000.0,Diesel,Manual
Honda,Accord,2018,Sedan,61503.0,1993.0,Hybrid,Automatic
Honda,CR-V,2014,SUV,220000.0,1600.0,Diesel,Manual
Ford,Escort,1996,Universal,1111.0,1400.0,Metan/Propan,Manual
Mercedes,E Class,1993,Sedan,123456.0,2000.0,Petrol,Manual
Mazda,626,1989,Universal,426000.0,2000.0,Metan/Propan,Manual
Volkswagen,Golf,1994,Hatchback,254325.0,1600.0,Petrol,Manual
Mercedes,C Class,2005,Sedan,224000.0,1800.0,Petrol,Automatic
Rare,Ypsilon,2006,Coupe,198210.0,1300.0,Diesel,Manual
BMW,5 Series,1992,Sedan,340000.0,2500.0,Petrol,Manual
Opel,Astra,1995,Universal,320000.0,1800.0,Petrol,Manual
Honda,CR-V,2006,Crossover,390000.0,2200.0,Diesel,Manual
Opel,Zafira,2003,Sedan,236000.0,1600.0,Petrol,Manual
Land Rover,Range Rover,2010,SUV,228000.0,3600.0,Diesel,Automatic
Volkswagen,Touran,2012,Microvan,175587.0,1197.0,Petrol,Manual
Hyundai,Accent,2003,Hatchback,260000.0,1341.0,Petrol,Manual
Chevrolet,Volt,2014,Hatchback,101208.0,1400.0,Plug-in Hybrid,Automatic
Ford,S-Max,2012,Minivan,240361.0,2200.0,Diesel,Manual
Mercedes,C Class,1995,Sedan,400000.0,1799.0,Petrol,Manual
